airport,freq,meanTaxi
SPN,2,10
MHK,2,8
IAG,765,208
OKC,30996,335
JFK,192393,386
IAH,269751,396
DEN,444539,411
ITO,12089,75
COS,16321,291
MOT,3236,232
LAX,421299,399
VLD,2044,211
TTN,4145,235
GUC,473,152
KOA,24530,121
SJU,53216,148
LIH,23540,127
DCA,151789,344
SGU,4135,68
ONT,38817,147
PBI,47834,301
TUS,31817,285
FLL,164146,341
OTZ,1406,38
BET,1915,49
JAC,7747,231
KTN,4892,83
SIT,2714,63
LGA,187577,340
MLB,3007,196
HPN,13939,249
SMF,81759,183
BZN,8422,230
SEA,263614,349
ACK,1214,162
OAK,96358,194
MVY,495,127
YAK,1408,48
GCK,835,143
PSG,1433,51
OME,1407,51
OGG,46412,173
BIL,6742,107
CPR,2914,79
GEG,19959,146
MYR,11202,126
HNL,94237,200
ASE,8653,220
EGE,3352,187
ANC,34223,165
GGG,734,133
AEX,5620,104
SMX,1077,145
HRL,5877,107
SRQ,6505,111
ABI,315,101
PIB,1237,148
CID,8766,216
MRY,4917,102
GTR,2011,164
MHT,13171,137
EAU,1319,149
MSP,256015,241
STX,2208,76
LWS,1423,61
PHF,2223,166
TVC,4333,189
OAJ,2488,81
RDD,1914,72
FNT,7615,120
HYS,1204,144
FLG,3622,182
DSM,15362,232
BLI,1194,143
STT,9882,130
BIS,4661,190
TWF,2072,76
PIH,1837,72
SNA,84228,205
RNO,27955,167
BOS,238994,326
HOU,106705,214
CLE,67134,198
PSC,7521,122
BWI,188759,317
MEM,27843,250
MTJ,2158,161
PGD,155,69
SFO,338966,256
FSD,8285,207
ELP,22492,162
SYR,11495,218
JAN,10265,135
BOI,29184,172
LFT,6075,195
BRO,3981,103
LAS,298303,253
BTM,1330,65
ABR,1468,145
SBN,10449,213
HIB,1918,154
MKE,64294,276
CSG,2450,87
ABY,1996,80
AVP,3254,172
MIA,137385,302
SWF,1432,69
MMH,186,72
PIT,50014,193
LSE,1501,144
JNU,9067,134
WRG,1431,70
DLH,4813,184
FSM,2296,87
PNS,11805,144
ACV,2709,93
JLN,848,123
DAY,12716,147
BGM,1744,147
ICT,15500,155
BQN,3658,105
CVG,30657,246
RDM,5453,119
FAY,3349,169
PVD,24920,172
PWM,12371,214
PHX,315312,261
GCC,2035,87
ADQ,1046,64
DAB,3917,110
PSE,1695,81
CDV,1421,75
GRB,7329,132
HDN,1999,148
BRW,1818,84
BQK,2032,88
SDF,19567,227
MFR,5827,125
ATW,6620,189
PHL,144235,296
FCA,4692,118
SJC,83275,218
FAR,7772,194
PDX,116397,288
PAH,1311,74
TUL,27627,180
PSP,19795,226
SBP,6261,186
AUS,91672,279
CMH,45642,198
IMT,1315,75
SAV,14278,214
FAI,4924,121
HLN,3331,108
GTF,3631,111
CAK,10431,148
GST,165,58
LEX,10120,201
LBB,9008,143
SPS,1636,84
BUF,35345,244
ROA,4320,118
MSY,86163,222
EWR,225023,308
TXK,1661,85
BJI,1450,81
BTV,7812,190
GPT,6193,132
UST,382,85
MLI,4997,125
GRK,3815,164
ORF,21637,224
BPT,1054,119
BNA,101960,231
CIU,1351,81
DLG,167,53
DFW,386096,322
MAF,11502,157
MDW,171963,251
MOB,9649,151
ROC,14390,165
HSV,8045,187
RKS,1275,123
CWA,1561,130
OTH,574,95
GJT,5792,134
ORD,478472,328
RST,2394,104
DTW,245814,265
CHO,4697,167
CLL,2225,141
INL,1221,120
MGM,4864,168
SAN,154496,250
IND,53008,250
SAT,61096,218
MDT,5024,168
BUR,44246,207
TLH,5083,132
MKG,1311,121
ALB,18495,177
APN,1243,119
WYS,448,48
GSO,11854,162
AVL,6660,142
XNA,11376,161
SHV,11702,162
ABE,4643,130
LGB,22123,185
ATL,762469,308
HOB,1200,116
BTR,13515,168
YUM,3917,125
ILM,5087,166
COD,1815,99
MEI,1963,132
EVV,5371,137
JAX,36629,204
MSN,14786,173
LAR,1199,86
TYR,824,73
BMI,3003,118
IDA,4891,135
DRO,3849,154
OMA,35413,231
PIA,5789,168
TYS,14136,199
TRI,4286,157
SCE,1445,119
DHN,2733,116
RDU,68847,253
AZO,4025,154
MCO,247738,297
SBA,11722,191
BDL,40180,210
MBS,3888,129
EYW,3470,148
LCH,2470,114
MFE,4377,134
TPA,134412,253
ROW,872,78
CRP,5817,144
LNK,5977,145
SAF,2360,134
EKO,1253,91
SPI,3372,146
DVL,1131,108
PPG,241,34
LIT,16576,181
ORH,1394,95
SGF,5476,143
BGR,1191,90
GFK,3070,123
MSO,5299,142
GRR,18100,185
ERI,1432,97
RAP,5904,164
GRI,626,86
RSW,57780,226
AMA,6055,148
EWN,1393,97
MQT,1357,112
CMX,1375,112
CDC,1249,94
CAE,8725,176
SCC,1612,103
ADK,202,45
ACY,7217,169
LAN,4749,141
LAW,2245,115
CLT,218313,287
PLN,2149,126
SUN,2243,116
ELM,3645,133
ECP,8933,175
ISN,3227,129
SJT,1968,112
MCI,86085,244
STL,109859,261
VPS,8305,163
IAD,67706,236
MLU,6032,160
CHA,9095,174
LBE,2038,122
JMS,1770,110
SLC,216295,277
PBG,733,86
ACT,2755,126
CRW,4968,152
BRD,1255,99
AKN,126,24
ITH,1781,116
BHM,24251,202
ESC,1227,103
ISP,9218,173
FWA,8274,169
EUG,6962,163
RIC,31139,215
FAT,16477,189
DAL,135988,266
GUM,732,81
ABQ,37574,221
GSP,14029,184
LRD,4162,144
CHS,28656,211
AGS,5245,152
RHI,2032,119
BFL,5140,151
HYA,241,44
GNV,4525,146
